kapitel,kapitel-text,jahr
0101,Bundespräsident,2019
0111,Zentral veranschlagte Verwaltungseinnahmen und -ausgaben,2019
0112,Bundespräsidialamt,2019
0113,Büro der Gemeinsamen Wissenschaftskonferenz,2019
0211,Zentral veranschlagte Verwaltungseinnahmen und -ausgaben,2019
0212,Deutscher Bundestag,2019
0213,Der Wehrbeauftragte des Deutschen Bundestages,2019
0214,Bundesversammlung,2019
0215,Mitglieder des Europäischen Parlaments,2019
0216,Parlamentarische Kontrolle der Nachrichtendienste,2019
0311,Zentral veranschlagte Verwaltungseinnahmen und -ausgaben,2019
0312,Bundesrat,2019
0410,Sonstige Bewilligungen,2019
0411,Zentral veranschlagte Verwaltungseinnahmen und -ausgaben des Geschäftsbereichs des BKAmts,2019
0412,Bundeskanzlerin und Bundeskanzleramt,2019
0413,"Die Beauftragte der Bundesregierung für Migration, Flüchtlinge und Integration",2019
0414,Bundesnachrichtendienst,2019
0431,Zentral veranschlagte Verwaltungseinnahmen und -ausgaben des Geschäftsbereichs des BPA,2019
0432,Presse- und Informationsamt der Bundesregierung,2019
0451,Zentral veranschlagte Verwaltungseinnahmen und -ausgaben der BKM und des Geschäftsbereichs,2019
0452,Die Beauftragte der Bundesregierung für Kultur und Medien,2019
0453,Bundesarchiv,2019
0454,Bundesinstitut für Kultur und Geschichte der Deutschen im östlichen Europa,2019
0455,Der Bundesbeauftragte für die Unterlagen des Staatssicherheitsdienstes der ehemaligen DDR,2019
0501,Sicherung von Frieden und Stabilität,2019
0502,Bilaterale Zusammenarbeit und Pflege der Auslandsbeziehungen,2019
0504,Pflege kultureller Beziehungen zum Ausland,2019
0510,Sonstige Bewilligungen,2019
0511,Zentral veranschlagte Verwaltungseinnahmen und -ausgaben,2019
0512,Bundesministerium,2019
0513,Deutsches Archäologisches Institut,2019
0601,"Heimat, Gesellschaft und Verfassung",2019
0602,"IT und Netzpolitik, Digitalfunk und Moderne Verwaltung",2019
0603,"Integration und Migration, Minderheiten und Vertriebene",2019
0604,Wohnungswesen und Stadtentwicklung,2019
0605,Hochbau- und Förderungsmaßnahmen in Berlin und Bonn,2019
0610,Sonstige Bewilligungen,2019
0611,Zentral veranschlagte Verwaltungseinnahmen und -ausgaben,2019
0612,Bundesministerium,2019
0614,Statistisches Bundesamt,2019
0615,Bundesverwaltungsamt,2019
0616,Bundesamt für Kartographie und Geodäsie,2019
0617,Bundesinstitut für Bevölkerungsforschung,2019
0618,Bundesinstitut für Sportwissenschaft,2019
0619,Beschaffungsamt des BMI,2019
0620,Bundesamt für zentrale Dienste und offene Vermögensfragen mit Bundesausgleichsamt,2019
0621,Bundesamt für Bauwesen und Raumordnung,2019
0622,Zentrale Stelle für Informationstechnik im Sicherheitsbereich,2019
0623,Bundesamt für Sicherheit in der Informationstechnik,2019
0624,Bundeskriminalamt,2019
0625,Bundespolizei,2019
0626,Bundesamt für Verfassungsschutz,2019
0628,Bundesamt für Bevölkerungsschutz und Katastrophenhilfe,2019
0629,Bundesanstalt Technisches Hilfswerk,2019
0633,Bundesamt für Migration und Flüchtlinge,2019
0634,Hochschule des Bundes für öffentliche Verwaltung,2019
0635,Bundeszentrale für politische Bildung,2019
0701,Verbraucherpolitik,2019
0710,Sonstige Bewilligungen,2019
0711,Zentral veranschlagte Verwaltungseinnahmen und -ausgaben,2019
0712,Bundesministerium,2019
0713,Bundesgerichtshof,2019
0714,Der Generalbundesanwalt beim Bundesgerichtshof,2019
0715,Bundesverwaltungsgericht,2019
0716,Bundesfinanzhof,2019
0717,Bundespatentgericht,2019
0718,Bundesamt für Justiz,2019
0719,Deutsches Patent- und Markenamt,2019
0801,Wiedergutmachungen des Bundes,2019
0802,Lasten im Zusammenhang mit dem Aufenthalt bzw. Abzug von ausländischen Streitkräften,2019
0803,Finanzierung der Nachfolgeeinrichtungen der Treuhandanstalt,2019
0810,Sonstige Bewilligungen,2019
0811,Zentral veranschlagte Verwaltungseinnahmen und -ausgaben,2019
0812,Bundesministerium,2019
0813,Zollverwaltung,2019
0815,Bundeszentralamt für Steuern,2019
0816,Informationstechnikzentrum Bund,2019
0901,"Innovation, Technologie und Neue Mobilität",2019
0902,"Mittelstand: Gründen, Wachsen, Investieren",2019
0903,Energie und Nachhaltigkeit,2019
0904,Chancen der Globalisierung,2019
0910,Sonstige Bewilligungen,2019
0911,Zentral veranschlagte Verwaltungseinnahmen und -ausgaben,2019
0912,Bundesministerium,2019
0913,Physikalisch-Technische Bundesanstalt,2019
0914,Bundesanstalt für Materialforschung und -prüfung,2019
0915,Bundesanstalt für Geowissenschaften und Rohstoffe,2019
0916,Bundesamt für Wirtschaft und Ausfuhrkontrolle,2019
0917,Bundeskartellamt,2019
0918,"Bundesnetzagentur für Elektrizität, Gas, Telekommunikation, Post und Eisenbahnen (Bundesnetzagentur)",2019
1001,Landwirtschaftliche Sozialpolitik,2019
1002,Gesundheitlicher Verbraucherschutz und Ernährung,2019
1003,"Gemeinschaftsaufgabe ""Verbesserung der Agrarstruktur und des Küstenschutzes""",2019
1004,"Marktordnung, Maßnahmen der Notfallvorsorge",2019
1005,"Nachhaltigkeit, Forschung und Innovation",2019
1006,Internationale Maßnahmen,2019
1010,Sonstige Bewilligungen,2019
1011,Zentral veranschlagte Verwaltungseinnahmen und -ausgaben,2019
1012,Bundesministerium,2019
1013,"Julius Kühn-Institut, Bundesforschungsinstitut für Kulturpflanzen",2019
1014,"Friedrich Loeffler-Institut, Bundesforschungsinstitut für Tiergesundheit",2019
1015,"Max Rubner-Institut, Bundesforschungsinstitut für Ernährung und Lebensmittel",2019
1016,"Johann Heinrich von Thünen-Institut, Bundesforschungsinstitut für Ländliche Räume, Wald und Fischerei",2019
1017,Bundesamt für Verbraucherschutz und Lebensmittelsicherheit (BVL),2019
1018,Bundessortenamt,2019
1101,Leistungen nach dem Zweiten und Dritten Buch Sozialgesetzbuch und gleichartige Leistungen,2019
1102,Rentenversicherung und Grundsicherung im Alter und bei Erwerbsminderung,2019
1103,Soziale Entschädigung (Kriegsopferversorgung und -fürsorge sowie gleichartige Leistungen),2019
1104,Unfallversicherung Bund und Bahn / Künstlersozialkasse,2019
1105,Förderung der Inklusion von Menschen mit Behinderungen,2019
1106,"Maßnahmen des Bundes mit Beteiligung Europäischer Fonds (ESF, EGF, EHAP) sowie sonstige internationale Angelegenheiten",2019
1107,"Arbeitswelt im Wandel, Fachkräftesicherung",2019
1110,Sonstige Bewilligungen,2019
1111,Zentral veranschlagte Verwaltungseinnahmen und -ausgaben,2019
1112,Bundesministerium,2019
1113,Bundesanstalt für Arbeitsschutz und Arbeitsmedizin,2019
1114,Bundesarbeitsgericht,2019
1115,Bundessozialgericht,2019
1116,Bundesversicherungsamt,2019
1201,Bundesfernstraßen,2019
1202,Bundesschienenwege,2019
1203,Bundeswasserstraßen,2019
1204,Digitale Infrastruktur,2019
1205,Luft- und Raumfahrt,2019
1206,Verbesserung der Verkehrsverhältnisse der Gemeinden,2019
1210,Sonstige Bewilligungen,2019
1211,Zentral veranschlagte Verwaltungseinnahmen und -ausgaben,2019
1212,Bundesministerium,2019
1213,Bundesamt für Güterverkehr,2019
1214,Bundesanstalt für Straßenwesen,2019
1215,Kraftfahrt-Bundesamt,2019
1216,Bundeseisenbahnvermögen,2019
1217,Eisenbahn-Bundesamt,2019
1218,Wasserstraßen- und Schifffahrtsverwaltung des Bundes,2019
1219,Bundesamt für Seeschifffahrt und Hydrographie,2019
1220,Deutscher Wetterdienst,2019
1221,Luftfahrt-Bundesamt,2019
1222,Bundesaufsichtsamt für Flugsicherung,2019
1223,Bundesanstalt für Verwaltungsdienstleistungen,2019
1228,Fernstraßen-Bundesamt,2019
1401,Verpflichtungen im Rahmen der Mitgliedschaft zur NATO und zu anderen internationalen Institutionen sowie Maßnahmen im Zusammenhang mit internationalen Einsätzen,2019
1403,"Kommandobehörden und Truppen, Sozialversicherungsbeiträge, Fürsorgemaßnahmen und Versorgung für Soldatinnen und Soldaten",2019
1404,"Wehrforschung, Entwicklung und Erprobung",2019
1405,Militärische Beschaffungen,2019
1406,Materialerhaltung der Bundeswehr,2019
1407,Sonstiger Betrieb der Bundeswehr,2019
1408,Unterbringung,2019
1410,Sonstige Bewilligungen,2019
1411,Zentral veranschlagte Verwaltungseinnahmen und -ausgaben,2019
1412,Bundesministerium,2019
1413,"Bundeswehrverwaltung, Universitäten der Bundeswehr, Militärseelsorge usw.",2019
1501,Gesetzliche Krankenversicherung,2019
1502,Pflegevorsorge und sonstige soziale Sicherung,2019
1503,Prävention und Gesundheitsverbände,2019
1504,Forschungsvorhaben und -einrichtungen,2019
1505,Internationales Gesundheitswesen,2019
1511,Zentral veranschlagte Verwaltungseinnahmen und -ausgaben,2019
1512,Bundesministerium,2019
1513,Bundeszentrale für gesundheitliche Aufklärung,2019
1514,Deutsches Institut für Medizinische Dokumentation und Information,2019
1515,Paul-Ehrlich-Institut,2019
1516,Bundesinstitut für Arzneimittel und Medizinprodukte,2019
1517,Robert Koch-Institut,2019
1601,Umweltschutz,2019
1602,Klimaschutz,2019
1603,Zwischenlagerung und Endlagerung radioaktiver Abfälle,2019
1604,Naturschutz,2019
1605,Nukleare Sicherheit und Strahlenschutz,2019
1611,Zentral veranschlagte Verwaltungseinnahmen und -ausgaben,2019
1612,Bundesministerium,2019
1613,Umweltbundesamt,2019
1614,Bundesamt für Naturschutz,2019
1615,Bundesamt für kerntechnische Entsorgungssicherheit,2019
1616,Bundesamt für Strahlenschutz,2019
1701,Gesetzliche Leistungen für die Familien,2019
1702,Kinder- und Jugendpolitik,2019
1703,"Stärkung der Zivilgesellschaft, Familien-﻿, Gleichstellungs- und Seniorenpolitik",2019
1710,Sonstige Bewilligungen,2019
1711,Zentral veranschlagte Verwaltungseinnahmen und -ausgaben,2019
1712,Bundesministerium,2019
1713,Bundesamt für Familie und zivilgesellschaftliche Aufgaben,2019
1714,Bundesprüfstelle für jugendgefährdende Medien,2019
1715,Antidiskriminierungsstelle des Bundes,2019
1911,Zentral veranschlagte Verwaltungseinnahmen und -ausgaben,2019
1912,Bundesverfassungsgericht,2019
2011,Zentral veranschlagte Verwaltungseinnahmen und -ausgaben,2019
2012,Bundesrechnungshof,2019
2111,Zentral veranschlagte Verwaltungseinnahmen und -ausgaben,2019
2112,Die Bundesbeauftragte für den Datenschutz und die Informationsfreiheit,2019
2301,Bilaterale staatliche Entwicklungszusammenarbeit,2019
2302,"Zivilgesellschaftliches, kommunales und wirtschaftliches Engagement",2019
2303,"Europäische Entwicklungszusammenarbeit, Beiträge an die Vereinten Nationen sowie andere internationale Einrichtungen",2019
2304,Beiträge an multilaterale Entwicklungsbanken,2019
2305,"Forschung, Evaluierung und Qualifizierung in der Entwicklungszusammenarbeit",2019
2310,Sonstige Bewilligungen,2019
2311,Zentral veranschlagte Verwaltungseinnahmen und -ausgaben,2019
2312,Bundesministerium,2019
3002,"Leistungsfähigkeit des Bildungswesens, Nachwuchsförderung",2019
3003,Wettbewerbsfähigkeit des Wissenschafts- und Innovationssystems,2019
3004,"Forschung für Innovationen, Hightech-Strategie",2019
3011,Zentral veranschlagte Verwaltungseinnahmen und -ausgaben,2019
3012,Bundesministerium,2019
3201,Kreditaufnahme,2019
3205,Verzinsung,2019
3208,"Bürgschaften, Garantien und sonstige Gewährleistungen",2019
6001,Steuern,2019
6002,Allgemeine Bewilligungen,2019
6003,Leistungen im Zusammenhang mit der deutschen Einheit,2019
6004,Bundesimmobilienangelegenheiten,2019
6067,Sonstige Versorgungsausgaben,2019
0101,Bundespräsident,2020
0111,Zentral veranschlagte Verwaltungseinnahmen und -ausgaben,2020
0112,Bundespräsidialamt,2020
0113,Büro der Gemeinsamen Wissenschaftskonferenz,2020
0211,Zentral veranschlagte Verwaltungseinnahmen und -ausgaben,2020
0212,Deutscher Bundestag,2020
0213,Der Wehrbeauftragte des Deutschen Bundestages,2020
0214,Bundesversammlung,2020
0215,Mitglieder des Europäischen Parlaments,2020
0216,Parlamentarische Kontrolle der Nachrichtendienste,2020
0311,Zentral veranschlagte Verwaltungseinnahmen und -ausgaben,2020
0312,Bundesrat,2020
0410,Sonstige Bewilligungen,2020
0411,Zentral veranschlagte Verwaltungseinnahmen und -ausgaben des Geschäftsbereichs des BKAmts,2020
0412,Bundeskanzlerin und Bundeskanzleramt,2020
0413,"Die Beauftragte der Bundesregierung für Migration, Flüchtlinge und Integration",2020
0414,Bundesnachrichtendienst,2020
0431,Zentral veranschlagte Verwaltungseinnahmen und -ausgaben des Geschäftsbereichs des BPA,2020
0432,Presse- und Informationsamt der Bundesregierung,2020
0451,Zentral veranschlagte Verwaltungseinnahmen und -ausgaben der BKM und des Geschäftsbereichs,2020
0452,Die Beauftragte der Bundesregierung für Kultur und Medien,2020
0453,Bundesarchiv,2020
0454,Bundesinstitut für Kultur und Geschichte der Deutschen im östlichen Europa,2020
0455,Der Bundesbeauftragte für die Unterlagen des Staatssicherheitsdienstes der ehemaligen DDR,2020
0501,Sicherung von Frieden und Stabilität,2020
0502,Bilaterale Zusammenarbeit und Pflege der Auslandsbeziehungen,2020
0504,Pflege kultureller Beziehungen zum Ausland,2020
0511,Zentral veranschlagte Verwaltungseinnahmen und -ausgaben,2020
0512,Bundesministerium,2020
0513,Deutsches Archäologisches Institut,2020
0514,Bundesamt für Auswärtige Angelegenheiten,2020
0601,"Heimat, Gesellschaft und Verfassung",2020
0602,"IT und Netzpolitik, Digitalfunk und Moderne Verwaltung",2020
0603,"Integration und Migration, Minderheiten und Vertriebene",2020
0604,Wohnungswesen und Stadtentwicklung,2020
0605,Hochbau- und Förderungsmaßnahmen in Berlin und Bonn,2020
0610,Sonstige Bewilligungen,2020
0611,Zentral veranschlagte Verwaltungseinnahmen und -ausgaben,2020
0612,Bundesministerium,2020
0614,Statistisches Bundesamt,2020
0615,Bundesverwaltungsamt,2020
0616,Bundesamt für Kartographie und Geodäsie,2020
0617,Bundesinstitut für Bevölkerungsforschung,2020
0618,Bundesinstitut für Sportwissenschaft,2020
0619,Beschaffungsamt des BMI,2020
0620,Bundesamt für zentrale Dienste und offene Vermögensfragen mit Bundesausgleichsamt,2020
0621,Bundesamt für Bauwesen und Raumordnung,2020
0622,Zentrale Stelle für Informationstechnik im Sicherheitsbereich,2020
0623,Bundesamt für Sicherheit in der Informationstechnik,2020
0624,Bundeskriminalamt,2020
0625,Bundespolizei,2020
0626,Bundesamt für Verfassungsschutz,2020
0628,Bundesamt für Bevölkerungsschutz und Katastrophenhilfe,2020
0629,Bundesanstalt Technisches Hilfswerk,2020
0633,Bundesamt für Migration und Flüchtlinge,2020
0634,Hochschule des Bundes für öffentliche Verwaltung,2020
0635,Bundeszentrale für politische Bildung,2020
0701,Verbraucherpolitik,2020
0710,Sonstige Bewilligungen,2020
0711,Zentral veranschlagte Verwaltungseinnahmen und -ausgaben,2020
0712,Bundesministerium,2020
0713,Bundesgerichtshof,2020
0714,Der Generalbundesanwalt beim Bundesgerichtshof,2020
0715,Bundesverwaltungsgericht,2020
0716,Bundesfinanzhof,2020
0717,Bundespatentgericht,2020
0718,Bundesamt für Justiz,2020
0719,Deutsches Patent- und Markenamt,2020
0801,Wiedergutmachungen des Bundes,2020
0802,Lasten im Zusammenhang mit dem Aufenthalt bzw. Abzug von ausländischen Streitkräften,2020
0803,Finanzierung der Nachfolgeeinrichtungen der Treuhandanstalt,2020
0810,Sonstige Bewilligungen,2020
0811,Zentral veranschlagte Verwaltungseinnahmen und -ausgaben,2020
0812,Bundesministerium,2020
0813,Zollverwaltung,2020
0815,Bundeszentralamt für Steuern,2020
0816,Informationstechnikzentrum Bund,2020
0901,"Innovation, Technologie und Neue Mobilität",2020
0902,"Mittelstand: Gründen, Wachsen, Investieren",2020
0903,Energie und Nachhaltigkeit,2020
0904,Chancen der Globalisierung,2020
0910,Sonstige Bewilligungen,2020
0911,Zentral veranschlagte Verwaltungseinnahmen und -ausgaben,2020
0912,Bundesministerium,2020
0913,Physikalisch-Technische Bundesanstalt,2020
0914,Bundesanstalt für Materialforschung und -prüfung,2020
0915,Bundesanstalt für Geowissenschaften und Rohstoffe,2020
0916,Bundesamt für Wirtschaft und Ausfuhrkontrolle,2020
0917,Bundeskartellamt,2020
0918,"Bundesnetzagentur für Elektrizität, Gas, Telekommunikation, Post und Eisenbahnen (Bundesnetzagentur)",2020
1001,Landwirtschaftliche Sozialpolitik,2020
1002,Gesundheitlicher Verbraucherschutz und Ernährung,2020
1003,"Gemeinschaftsaufgabe ""Verbesserung der Agrarstruktur und des Küstenschutzes"" - GAK",2020
1004,"Marktordnung, Maßnahmen der Notfallvorsorge",2020
1005,"Nachhaltigkeit, Forschung und Innovation",2020
1006,Internationale Maßnahmen,2020
1010,Sonstige Bewilligungen,2020
1011,Zentral veranschlagte Verwaltungseinnahmen und -ausgaben,2020
1012,Bundesministerium,2020
1013,"Julius Kühn-Institut, Bundesforschungsinstitut für Kulturpflanzen",2020
1014,"Friedrich Loeffler-Institut, Bundesforschungsinstitut für Tiergesundheit",2020
1015,"Max Rubner-Institut, Bundesforschungsinstitut für Ernährung und Lebensmittel",2020
1016,"Johann Heinrich von Thünen-Institut, Bundesforschungsinstitut für Ländliche Räume, Wald und Fischerei",2020
1017,Bundesamt für Verbraucherschutz und Lebensmittelsicherheit (BVL),2020
1018,Bundessortenamt,2020
1101,Leistungen nach dem Zweiten und Dritten Buch Sozialgesetzbuch und gleichartige Leistungen,2020
1102,Rentenversicherung und Grundsicherung im Alter und bei Erwerbsminderung,2020
1103,Soziale Entschädigung (Kriegsopferversorgung und -fürsorge sowie gleichartige Leistungen),2020
1104,Unfallversicherung Bund und Bahn / Künstlersozialkasse,2020
1105,Förderung der Inklusion von Menschen mit Behinderungen,2020
1106,"Maßnahmen des Bundes mit Beteiligung Europäischer Fonds (ESF, EGF, EHAP) sowie sonstige internationale Angelegenheiten",2020
1107,"Arbeitswelt im Wandel, Fachkräftesicherung",2020
1110,Sonstige Bewilligungen,2020
1111,Zentral veranschlagte Verwaltungseinnahmen und -ausgaben,2020
1112,Bundesministerium,2020
1113,Bundesanstalt für Arbeitsschutz und Arbeitsmedizin,2020
1114,Bundesarbeitsgericht,2020
1115,Bundessozialgericht,2020
1116,Bundesversicherungsamt,2020
1201,Bundesfernstraßen,2020
1202,Bundesschienenwege,2020
1203,Bundeswasserstraßen,2020
1204,Digitale Infrastruktur,2020
1205,Luft- und Raumfahrt,2020
1206,Verbesserung der Verkehrsverhältnisse der Gemeinden,2020
1210,Sonstige Bewilligungen,2020
1211,Zentral veranschlagte Verwaltungseinnahmen und -ausgaben,2020
1212,Bundesministerium,2020
1213,Bundesamt für Güterverkehr,2020
1214,Bundesanstalt für Straßenwesen,2020
1215,Kraftfahrt-Bundesamt,2020
1216,Bundeseisenbahnvermögen,2020
1217,Eisenbahn-Bundesamt,2020
1218,Wasserstraßen- und Schifffahrtsverwaltung des Bundes,2020
1219,Bundesamt für Seeschifffahrt und Hydrographie,2020
1220,Deutscher Wetterdienst,2020
1221,Luftfahrt-Bundesamt,2020
1222,Bundesaufsichtsamt für Flugsicherung,2020
1223,Bundesanstalt für Verwaltungsdienstleistungen,2020
1228,Fernstraßen-Bundesamt,2020
1401,Verpflichtungen im Rahmen der Mitgliedschaft zur NATO und zu anderen internationalen Institutionen sowie Maßnahmen im Zusammenhang mit internationalen Einsätzen,2020
1403,"Kommandobehörden und Truppen, Sozialversicherungsbeiträge, Fürsorgemaßnahmen und Versorgung für Soldatinnen und Soldaten",2020
1404,"Wehrforschung, Entwicklung und Erprobung",2020
1405,Militärische Beschaffungen,2020
1406,Materialerhaltung der Bundeswehr,2020
1407,Sonstiger Betrieb der Bundeswehr,2020
1408,Unterbringung,2020
1410,Sonstige Bewilligungen,2020
1411,Zentral veranschlagte Verwaltungseinnahmen und -ausgaben,2020
1412,Bundesministerium,2020
1413,"Bundeswehrverwaltung, Universitäten der Bundeswehr, Militärseelsorge usw.",2020
1501,Gesetzliche Krankenversicherung,2020
1502,Pflegevorsorge und sonstige soziale Sicherung,2020
1503,Prävention und Gesundheitsverbände,2020
1504,Forschungsvorhaben und -einrichtungen,2020
1505,Internationales Gesundheitswesen,2020
1511,Zentral veranschlagte Verwaltungseinnahmen und -ausgaben,2020
1512,Bundesministerium,2020
1513,Bundeszentrale für gesundheitliche Aufklärung,2020
1514,Deutsches Institut für Medizinische Dokumentation und Information,2020
1515,Paul-Ehrlich-Institut,2020
1516,Bundesinstitut für Arzneimittel und Medizinprodukte,2020
1517,Robert Koch-Institut,2020
1601,Umweltschutz,2020
1602,Klimaschutz,2020
1603,Zwischenlagerung und Endlagerung radioaktiver Abfälle,2020
1604,Naturschutz,2020
1605,Nukleare Sicherheit und Strahlenschutz,2020
1611,Zentral veranschlagte Verwaltungseinnahmen und -ausgaben,2020
1612,Bundesministerium,2020
1613,Umweltbundesamt,2020
1614,Bundesamt für Naturschutz,2020
1615,Bundesamt für kerntechnische Entsorgungssicherheit,2020
1616,Bundesamt für Strahlenschutz,2020
1701,Gesetzliche Leistungen für die Familien,2020
1702,Kinder- und Jugendpolitik,2020
1703,"Stärkung der Zivilgesellschaft, Familien-﻿, Gleichstellungs- und Seniorenpolitik",2020
1710,Sonstige Bewilligungen,2020
1711,Zentral veranschlagte Verwaltungseinnahmen und -ausgaben,2020
1712,Bundesministerium,2020
1713,Bundesamt für Familie und zivilgesellschaftliche Aufgaben,2020
1714,Bundesprüfstelle für jugendgefährdende Medien,2020
1715,Antidiskriminierungsstelle des Bundes,2020
1716,Der Unabhängige Beauftragte für Fragen des sexuellen Kindesmissbrauchs,2020
1911,Zentral veranschlagte Verwaltungseinnahmen und -ausgaben,2020
1912,Bundesverfassungsgericht,2020
2011,Zentral veranschlagte Verwaltungseinnahmen und -ausgaben,2020
2012,Bundesrechnungshof,2020
2111,Zentral veranschlagte Verwaltungseinnahmen und -ausgaben,2020
2112,Der Bundesbeauftragte für den Datenschutz und die Informationsfreiheit,2020
2301,Bilaterale staatliche Entwicklungszusammenarbeit,2020
